theta_1_t,d_theta_1_t,q_1_t,theta_2_t,d_theta_2_t,q_2_t
-0.000988333,0,-3.63884e-05,-1.48284,-1.54093,1.49848
-0.000988333,0,-3.63884e-05,-1.48769,-1.59617,1.50348
-0.000988333,0,-3.63884e-05,-1.49226,-1.64269,1.50843
-0.000988333,0,-2.44042e-05,-1.49723,-1.60489,1.51337
-0.000988333,0,-3.63884e-05,-1.50269,-1.51476,1.51827
-0.000988333,0,-2.44042e-05,-1.50697,-1.51476,1.52322
-0.000988333,0,-3.63884e-05,-1.51214,-1.58744,1.52811
-0.000988333,0,-3.63884e-05,-1.51618,-1.63687,1.533
-0.000988333,0,-3.63884e-05,-1.52086,-1.66013,1.53787
-0.000988333,0,-2.44042e-05,-1.52601,-1.6107,1.54266
-0.000988333,0,-3.63884e-05,-1.53084,-1.59617,1.54746
-0.000988333,0,-3.63884e-05,-1.53581,-1.57872,1.55228
-0.000988333,0,-3.63884e-05,-1.54052,-1.59617,1.55694
-0.000988333,0,-3.63884e-05,-1.54508,-1.58744,1.56155
-0.000988333,0,-3.63884e-05,-1.54985,-1.5322,1.56617
-0.000988333,0,-3.63884e-05,-1.55465,-1.43626,1.57079
-0.000988333,0,-2.44042e-05,-1.55915,-1.413,1.57539
-0.000988333,0,-3.63884e-05,-1.56288,-1.4508,1.57995
-0.000988333,0,-3.63884e-05,-1.56718,-1.50894,1.58452
-0.000988333,0,-2.44042e-05,-1.57166,-1.47696,1.58906
-0.000988333,0,-3.63884e-05,-1.57651,-1.4508,1.59356
-0.000988333,0,-3.63884e-05,-1.58052,-1.38683,1.59804
-0.000988333,0,-2.44042e-05,-1.58468,-1.38102,1.60254
-0.000988333,0,-2.44042e-05,-1.58887,-1.42754,1.607
-0.000988333,0,-2.44042e-05,-1.59314,-1.5322,1.61141
-0.000988333,0,-2.44042e-05,-1.59753,-1.5322,1.61575
-0.000988333,0,-4.83727e-05,-1.60216,-1.47696,1.62003
-0.000988333,0,-3.63884e-05,-1.60742,-1.38683,1.62426
-0.000988333,0,-3.63884e-05,-1.61268,-1.38683,1.62992
-0.000988333,0,-3.63884e-05,-1.61681,-1.3723,1.63401
-0.000988333,0,-3.63884e-05,-1.62132,-1.44498,1.63816
-0.000988333,0,-3.63884e-05,-1.62547,-1.38102,1.64228
-0.000988333,0,-3.63884e-05,-1.62966,-1.27635,1.64639
-0.000988333,0,-3.63884e-05,-1.63367,-1.21239,1.65049
-0.000988333,0,-2.44042e-05,-1.63722,-1.18041,1.65451
-0.000988333,0,-3.63884e-05,-1.64062,-1.18041,1.65859
-0.000988333,0,-3.63884e-05,-1.64417,-1.25891,1.66266
-0.000988333,0,-3.63884e-05,-1.64812,-1.38683,1.66661
-0.000988333,0,-3.63884e-05,-1.65205,-1.39556,1.67063
-0.000988333,0,-3.63884e-05,-1.65623,-1.27635,1.67468
-0.000988333,0,-3.63884e-05,-1.66016,-1.24437,1.67866
-0.000988333,0,-3.63884e-05,-1.6644,-1.28507,1.68267
-0.000988333,0,-3.63884e-05,-1.66807,-1.33159,1.68665
-0.000988333,0,-2.44042e-05,-1.67225,-1.4508,1.69054
-0.000988333,0,-2.44042e-05,-1.67638,-1.48278,1.69446
-0.000988333,0,-3.63884e-05,-1.68045,-1.41881,1.69827
-0.000988333,0,-2.44042e-05,-1.68493,-1.22111,1.70216
-0.000988333,0,-3.63884e-05,-1.68917,-1.14843,1.70598
-0.000988333,0,-2.44042e-05,-1.69223,-1.14843,1.70673
-0.000988333,0,-2.44042e-05,-1.6958,-1.17169,1.7105
-0.000988333,0,-3.63884e-05,-1.69964,-1.24437,1.71433
-0.000988333,0,-3.63884e-05,-1.7031,-1.32287,1.71809
-0.000988333,0,-3.63884e-05,-1.70799,-1.21239,1.72321
-0.000988333,0,-3.63884e-05,-1.71203,-1.14843,1.72696
-0.000988333,0,-3.63884e-05,-1.71552,-1.08446,1.73087
-0.000988333,0,-3.63884e-05,-1.71895,-1.13389,1.73468
-0.000988333,0,-2.44042e-05,-1.72246,-1.22693,1.73846
-0.000988333,0,-3.63884e-05,-1.72566,-1.34904,1.74222
-0.000988333,0,-3.63884e-05,-1.72999,-1.38683,1.74592
-0.000988333,0,-2.44042e-05,-1.7338,-1.34904,1.7496
-0.000988333,0,-2.44042e-05,-1.73837,-1.30833,1.75323
